id,type,status,error,is_timeout,submit_ts,dispatch_ts,deploy_ts,finish_ts,latency_resp_ms,latency_full_ms,node_id,provider_id,is_cross_node
60,medium,success,,false,2026-01-12T04:21:26.277545883Z,2026-01-12T04:21:26.277547183Z,2026-01-12T04:21:26.278876439Z,2026-01-12T04:21:26.278876949Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
61,medium,success,,false,2026-01-12T04:21:26.327574831Z,2026-01-12T04:21:26.327576561Z,2026-01-12T04:21:26.336047999Z,2026-01-12T04:21:26.336048819Z,8,8,node.Rwk8GopPaY4eVoAocvH9t7,provider.9juE62tijRb7bPALsQoG9m,true
62,medium,success,,false,2026-01-12T04:21:26.376915987Z,2026-01-12T04:21:26.376917097Z,2026-01-12T04:21:26.378071144Z,2026-01-12T04:21:26.378071534Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
63,medium,success,,false,2026-01-12T04:21:26.427209002Z,2026-01-12T04:21:26.427210542Z,2026-01-12T04:21:26.435980577Z,2026-01-12T04:21:26.435981187Z,8,8,node.Rwk8GopPaY4eVoAocvH9t7,provider.9juE62tijRb7bPALsQoG9m,true
64,small,success,,false,2026-01-12T04:21:26.477616905Z,2026-01-12T04:21:26.477617945Z,2026-01-12T04:21:26.478903082Z,2026-01-12T04:21:26.478903432Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
65,small,success,,false,2026-01-12T04:21:26.527384896Z,2026-01-12T04:21:26.527386596Z,2026-01-12T04:21:26.528329276Z,2026-01-12T04:21:26.528329476Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
66,small,success,,false,2026-01-12T04:21:26.576754712Z,2026-01-12T04:21:26.576755722Z,2026-01-12T04:21:26.585048832Z,2026-01-12T04:21:26.585049462Z,8,8,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
67,large,success,,false,2026-01-12T04:21:26.627272764Z,2026-01-12T04:21:26.627274694Z,2026-01-12T04:21:26.636349576Z,2026-01-12T04:21:26.636350216Z,9,9,node.Rwk8GopPaY4eVoAocvH9t7,provider.DTdB86wjgKvMJMNBF39DYH,true
68,medium,success,,false,2026-01-12T04:21:26.677174444Z,2026-01-12T04:21:26.677175674Z,2026-01-12T04:21:26.686432053Z,2026-01-12T04:21:26.686432573Z,9,9,node.Rwk8GopPaY4eVoAocvH9t7,provider.9juE62tijRb7bPALsQoG9m,true
69,small,success,,false,2026-01-12T04:21:26.727420549Z,2026-01-12T04:21:26.727422529Z,2026-01-12T04:21:26.732450735Z,2026-01-12T04:21:26.732451445Z,5,5,node.Y7enFAt94fak68tn2EsaYM,provider.AZKvqpmtxidneH5jvVTUVc,true
70,medium,success,,false,2026-01-12T04:21:26.777083631Z,2026-01-12T04:21:26.777085061Z,2026-01-12T04:21:26.778299298Z,2026-01-12T04:21:26.778299508Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
71,medium,success,,false,2026-01-12T04:21:26.827126839Z,2026-01-12T04:21:26.827128029Z,2026-01-12T04:21:26.828417525Z,2026-01-12T04:21:26.828417725Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
72,medium,success,,false,2026-01-12T04:21:26.876733002Z,2026-01-12T04:21:26.876734202Z,2026-01-12T04:21:26.885083681Z,2026-01-12T04:21:26.885084191Z,8,8,node.Rwk8GopPaY4eVoAocvH9t7,provider.joizsVE8vpyYrE95wQkfdT,true
73,medium,success,,false,2026-01-12T04:21:26.926968938Z,2026-01-12T04:21:26.926971698Z,2026-01-12T04:21:26.928072106Z,2026-01-12T04:21:26.928072406Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
74,medium,success,,false,2026-01-12T04:21:26.977155574Z,2026-01-12T04:21:26.977157824Z,2026-01-12T04:21:26.978087144Z,2026-01-12T04:21:26.978087354Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
75,medium,success,,false,2026-01-12T04:21:27.027309701Z,2026-01-12T04:21:27.027311671Z,2026-01-12T04:21:27.038865135Z,2026-01-12T04:21:27.038865695Z,11,11,node.Rwk8GopPaY4eVoAocvH9t7,provider.9juE62tijRb7bPALsQoG9m,true
76,large,success,,false,2026-01-12T04:21:27.077499067Z,2026-01-12T04:21:27.077500217Z,2026-01-12T04:21:27.085834227Z,2026-01-12T04:21:27.085834857Z,8,8,node.Rwk8GopPaY4eVoAocvH9t7,provider.joizsVE8vpyYrE95wQkfdT,true
77,medium,success,,false,2026-01-12T04:21:27.127306997Z,2026-01-12T04:21:27.127308217Z,2026-01-12T04:21:27.128404915Z,2026-01-12T04:21:27.128405125Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
78,medium,success,,false,2026-01-12T04:21:27.177239536Z,2026-01-12T04:21:27.177241126Z,2026-01-12T04:21:27.178265625Z,2026-01-12T04:21:27.178265835Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
79,medium,success,,false,2026-01-12T04:21:27.227315714Z,2026-01-12T04:21:27.227317484Z,2026-01-12T04:21:27.228211254Z,2026-01-12T04:21:27.228211514Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
80,medium,success,,false,2026-01-12T04:21:27.277154124Z,2026-01-12T04:21:27.277155514Z,2026-01-12T04:21:27.278774177Z,2026-01-12T04:21:27.278774387Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
81,medium,success,,false,2026-01-12T04:21:27.326736627Z,2026-01-12T04:21:27.326738027Z,2026-01-12T04:21:27.327697157Z,2026-01-12T04:21:27.327697357Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
82,medium,success,,false,2026-01-12T04:21:27.377671575Z,2026-01-12T04:21:27.377672595Z,2026-01-12T04:21:27.382069168Z,2026-01-12T04:21:27.382069778Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
83,medium,success,,false,2026-01-12T04:21:27.427511245Z,2026-01-12T04:21:27.427512405Z,2026-01-12T04:21:27.428546104Z,2026-01-12T04:21:27.428546394Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
84,medium,success,,false,2026-01-12T04:21:27.477394095Z,2026-01-12T04:21:27.477395385Z,2026-01-12T04:21:27.481409631Z,2026-01-12T04:21:27.481410081Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
85,medium,success,,false,2026-01-12T04:21:27.526892049Z,2026-01-12T04:21:27.526893029Z,2026-01-12T04:21:27.53414494Z,2026-01-12T04:21:27.53414545Z,7,7,node.Rwk8GopPaY4eVoAocvH9t7,provider.9juE62tijRb7bPALsQoG9m,true
86,medium,success,,false,2026-01-12T04:21:27.577606259Z,2026-01-12T04:21:27.577607429Z,2026-01-12T04:21:27.581502557Z,2026-01-12T04:21:27.581503177Z,3,3,node.Y7enFAt94fak68tn2EsaYM,provider.oSYrRhAtHo5JiCJnjdW9bv,true
87,medium,success,,false,2026-01-12T04:21:27.627121683Z,2026-01-12T04:21:27.627123063Z,2026-01-12T04:21:27.631239628Z,2026-01-12T04:21:27.631240128Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.AZKvqpmtxidneH5jvVTUVc,true
88,medium,success,,false,2026-01-12T04:21:27.677761214Z,2026-01-12T04:21:27.677762684Z,2026-01-12T04:21:27.678689184Z,2026-01-12T04:21:27.678689384Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
89,medium,success,,false,2026-01-12T04:21:27.727652544Z,2026-01-12T04:21:27.727653734Z,2026-01-12T04:21:27.731936898Z,2026-01-12T04:21:27.731938108Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.oSYrRhAtHo5JiCJnjdW9bv,true
90,large,success,,false,2026-01-12T04:21:27.777339406Z,2026-01-12T04:21:27.777341156Z,2026-01-12T04:21:27.789128838Z,2026-01-12T04:21:27.789129558Z,11,11,node.Rwk8GopPaY4eVoAocvH9t7,provider.joizsVE8vpyYrE95wQkfdT,true
91,medium,success,,false,2026-01-12T04:21:27.826895399Z,2026-01-12T04:21:27.826897349Z,2026-01-12T04:21:27.83419264Z,2026-01-12T04:21:27.83419331Z,7,7,node.Rwk8GopPaY4eVoAocvH9t7,provider.DTdB86wjgKvMJMNBF39DYH,true
92,medium,success,,false,2026-01-12T04:21:27.877701079Z,2026-01-12T04:21:27.877702379Z,2026-01-12T04:21:27.879336071Z,2026-01-12T04:21:27.879336281Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
93,large,success,,false,2026-01-12T04:21:27.927108243Z,2026-01-12T04:21:27.927110743Z,2026-01-12T04:21:27.936359043Z,2026-01-12T04:21:27.936359873Z,9,9,node.Rwk8GopPaY4eVoAocvH9t7,provider.DTdB86wjgKvMJMNBF39DYH,true
94,small,success,,false,2026-01-12T04:21:27.977616266Z,2026-01-12T04:21:27.977618306Z,2026-01-12T04:21:27.978837213Z,2026-01-12T04:21:27.978837423Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
95,medium,success,,false,2026-01-12T04:21:28.026996621Z,2026-01-12T04:21:28.026998671Z,2026-01-12T04:21:28.02804551Z,2026-01-12T04:21:28.02804572Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
96,large,success,,false,2026-01-12T04:21:28.077431335Z,2026-01-12T04:21:28.077432465Z,2026-01-12T04:21:28.096931474Z,2026-01-12T04:21:28.096932224Z,19,19,node.JvECnV95brjeA43d7UkKis,provider.k6YjNFCdADEiX3oH65FuGt,true
